id,title,description,availability,condition,price,link,image_link,brand,google_product_category
kasha-katuwe,Collier Kasha Katuwe,Collier talisman en acier inoxydable doré. Ce talisman évoque la chaleur du désert. Il apporte liberté et soif d'aventure. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,29.00 EUR,https://www.elayatalismans.com/produits/kasha-katuwe,https://www.elayatalismans.com/assets/products/04-kasha-katuwe-still.png,ELAYA Talismans,188
rio-grande,Bracelet Rio Grande,Bracelet talisman en acier inoxydable doré. Ce talisman incarne la beauté des paysages arides. Il donne puissance et rayonnement. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,25.00 EUR,https://www.elayatalismans.com/produits/rio-grande,https://www.elayatalismans.com/assets/products/03-rio-grande-still.png,ELAYA Talismans,188
canyon-road,Boucles Canyon Road,Boucles d'oreilles talisman en acier inoxydable doré. Ce talisman révèle le désert sous une nuit étoilée. Il confère force et protection. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,27.00 EUR,https://www.elayatalismans.com/produits/canyon-road,https://www.elayatalismans.com/assets/products/02-canyon-road-still.png,ELAYA Talismans,188
chimayo,Bague Chimayo,Bague talisman en acier inoxydable doré. Ce talisman suggère les reflets du soleil sur le sable chaud. Il suscite énergie et réconfort. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,26.00 EUR,https://www.elayatalismans.com/produits/chimayo,https://www.elayatalismans.com/assets/products/01-chimayo-still.png,ELAYA Talismans,188
calamity-jane,Collier Calamity Jane,Collier talisman en acier inoxydable doré. Ce talisman évoque les grands espaces et le vent des plaines. Il donne une sensation de liberté féminine et assumée. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,27.00 EUR,https://www.elayatalismans.com/produits/calamity-jane,https://www.elayatalismans.com/assets/products/05-calamity-jane-still.png,ELAYA Talismans,188
annie-oakley,Bracelet Annie Oakley,Bracelet talisman en acier inoxydable doré. Ce talisman révèle la puissance et la beauté du Far West. Il apporte force et assurance. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,29.00 EUR,https://www.elayatalismans.com/produits/annie-oakley,https://www.elayatalismans.com/assets/products/06-annie-oakley-still.jpg,ELAYA Talismans,188
belle-starr,Boucles Belle Starr,Boucles d'oreilles talisman en acier inoxydable doré. Ce talisman s'inspire des paysages sauvages de l'Ouest américain. Il insuffle allure et confiance. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,24.00 EUR,https://www.elayatalismans.com/produits/belle-starr,https://www.elayatalismans.com/assets/products/07-belle-starr-still.png,ELAYA Talismans,188
sarah-winnemucca,Bague Sarah Winnemucca,Bague talisman en acier inoxydable doré. Ce talisman incarne la splendeur du Wild West. Il génère féminité et puissance. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,29.00 EUR,https://www.elayatalismans.com/produits/sarah-winnemucca,https://www.elayatalismans.com/assets/products/08-sarah-winnemucca-still.png,ELAYA Talismans,188
cherokee,Collier Cherokee,Collier talisman en acier inoxydable doré. Ce talisman s'inspire de la nature douce mais puissante. Il apporte courage et paix intérieure. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,30.00 EUR,https://www.elayatalismans.com/produits/cherokee,https://www.elayatalismans.com/assets/products/09-cherokee-still.png,ELAYA Talismans,188
tomahawk,Bracelet Tomahawk,Bracelet talisman en acier inoxydable doré. Ce talisman évoque les équilibres naturels. Il amène une sensation d'harmonie. Résistant à l'eau et au sport - hypoallergénique - ne ternit pas.,in stock,new,26.00 EUR,https://www.elayatalismans.com/produits/tomahawk,https://www.elayatalismans.com/assets/products/10-tomahawk-still.png,ELAYA Talismans,188
